"","beta.1.1","beta.1.2","beta.1.3","beta.1.4"
"1",-0.613744653423331,-0.864058444635862,-0.598039007327024,-1.34374360416694
"2",-0.613744653423331,-0.864058444635862,-0.598039007327024,-1.34374360416694
"3",-0.613744653423331,-0.864058444635862,-0.598039007327024,-1.34374360416694
"4",-0.613744653423331,-0.864058444635862,-0.598039007327024,-1.34374360416694
"5",-0.613744653423331,-0.864058444635862,-0.598039007327024,-1.34374360416694
"6",0.999505698451006,-0.651071720820132,1.04682294573415,-0.114731112481269
"7",0.999505698451006,-0.651071720820132,1.04682294573415,-0.114731112481269
"8",0.999505698451006,-0.651071720820132,1.04682294573415,-0.114731112481269
"9",0.999505698451006,-0.651071720820132,1.04682294573415,-0.114731112481269
"10",0.999505698451006,-0.651071720820132,1.04682294573415,-0.114731112481269
"11",-5.62490118439903,-0.0472947619669436,4.37506623066223,-6.73235713225383
"12",-1.45840545752274,-3.82093198802723,-0.242658825863493,-1.02029211925236
"13",-2.27181632134011,0.856856980591341,2.20316386813578,0.742788272198923
"14",-5.80434618911469,-0.215394459808464,2.82232991179152,-6.64143739866541
"15",-0.59261009849275,-0.108405196859599,1.92999102566822,0.561825366704286
